Brand,Brewery,PercentAlcohol,CaloriesPer12Oz,Carbohydrates( ams)
American Amber Lager,Straub Brewery ,0.0410,136,10.5
American Lager,Straub Brewery,0.0410,132,10.5
American Light,Straub Brewery,0.0320,96,7.6
Anchor Porter,Anchor,0.0560,209,
Anchor Steam,Anchor ,0.0490,153,16
Anheuser Busch Natural Light ,Anheuser Busch,0.0420,95,3.2
Anheuser Busch Natural Ice,Anheuser Busch,0.0590,157,8.9
Aspen Edge,Adolph Coors,0.0410,94,2.6
Bard's Gold (Gluten-Free) ,Bard's Tale Beer Co,0.0460,155,14.2
Big Sky I.P.A. ,Big Sky Brewing,0.0620,195,
Big Sky Moose Drool Brown Ale ,Big Sky Brewing,0.0520,177,15.6
Big Sky Powder Hound (seasonal) ,Big Sky Brewing,0.0620,195,
Big Sky Scape Goat Pale Ale ,Big Sky Brewing,0.0470,163,13.9
Big Sky Summer Honey Ale (seasonal) ,Big Sky Brewing,0.0470,154,11.6
Big Sky Trout Slayer Ale ,Big Sky Brewing,0.0470,163,13.9
Blatz Beer ,Blatz,0.0480,153,12.5
Blatz Light,Blatz,,,8.5
Blue Moon,Adolph Coors,0.0540,171,13.7
Breckenridge Brown Ale,Breckenridge Brewery,0.0560,196,21.9
Breckenridge Red Ale,Breckenridge Brewery,0.0550,193,21.8
Bud Dry,Budweiser,0.0500,130,7.8
Bud Ice,Budweiser,0.0550,123,8.9
Bud Ice Light,Budweiser,0.0500,115,7.5
Bud Light,Budweiser,0.0420,110,6.6
Bud Light Lime,Budweiser,0.0420,116,8
Bud Light Platinum,Budweiser,0.0600,137,4.4
Budweiser,Budweiser,0.0500,145,10.6
Budweiser Black Crown,Budweiser,0.0600,146,10
Budweiser Select,Budweiser,0.0430,99,3.1
Budweiser Select 55,Budweiser,0.0240,55,1.9
Busch Beer ,Anheuser Busch,0.0460,133,10.2
Busch Ice,Anheuser Busch,0.0590,169,12.5
Busch Light,Anheuser Busch,0.0410,95,3.2
Carling Black Label,G. Heileman,0.0430,138,12.5
Colt 45 Malt Liquor,G. Heileman,0.0610,174,11.1
Coors  ,MillerCoors,0.0491,149,12.2
Coors Light ,MillerCoors,0.0415,104,5.3
Deschutes Twilight Summer Ale ,Deschutes Brewery,0.0500,162,9.6
Deschutes Chainbreaker White IPA ,Deschutes Brewery,0.0560,180,10.8
Extra Gold Lager ,MillerCoors,0.0497,152,12.5
Flying Dog Dog Schwarz,Flying Dog Brewery ,0.0780,222,14.3
Flying Dog Doggie Style,Flying Dog Brewery ,0.0470,158,11.4
Flying Dog DogtoberFest,Flying Dog Brewery ,0.0560,165,12.3
Flying Dog Double Dog ,Flying Dog Brewery ,0.1150,313,16.6
Flying Dog Garde Dog,Flying Dog Brewery ,0.0550,150,9.3
Flying Dog Gonzo,Flying Dog Brewery ,0.0920,271,18.9
Flying Dog Horn Dog,Flying Dog Brewery ,0.1020,314,21.5
Flying Dog In Heat Wheat,Flying Dog Brewery ,0.0470,138,10.4
Flying Dog K-9 Cruiser,Flying Dog Brewery ,0.0740,197,10.6
Flying Dog Kerberos Tripel,Flying Dog Brewery ,0.0830,238,8.6
Flying Dog Old Scratch Amber Ale,Flying Dog Brewery ,0.0550,154,10.2
Flying Dog Raging Bitch,Flying Dog Brewery ,0.0830,221,11.6
Flying Dog Road Dog,Flying Dog Brewery ,0.0600,163,9.9
Flying Dog Snake Dog IPA,Flying Dog Brewery ,0.0710,188,10
Flying Dog Tire Bite Golden Ale,Flying Dog Brewery ,0.0510,129,6.2
Flying Dog Wild Dog: Coffee Stout,Flying Dog Brewery ,0.0990,288,20.2
Flying Dog Woody Creek White,Flying Dog Brewery ,0.0480,131,8
Genesee Beer,High Falls Brewing,0.0450,148,13.5
Genesee Cream Ale,High Falls Brewing,0.0510,162,15
Genesee Ice,High Falls Brewing,0.0590,156,14.5
Genesee Red,High Falls Brewing,0.0490,148,14
George Killian's Irish Red,MillerCoors,0.0498,162,14.8
Icehouse,MillerCoors,0.0550,132,8.7
Icehouse 5.0,MillerCoors,0.0550,149,9.8
Icehouse Light,MillerCoors,0.0413,103,5.5
Hamm's Beer,MillerCoors,0.0470,144,12.1
Hamm's Golden Draft,MillerCoors,0.0470,144,12.1
Hamm's Special Light,MillerCoors,0.0390,110,8.3
Keystone Premium,Adolph Coors,0.0443,111,5.8
Keystone Light,Adolph Coors,0.0413,103,5
Keystone Ice,Adolph Coors,0.0590,142,5.9
Leinenkugel Honey Weiss,Leinenkugel,0.0492,149,12
Leinenkugel Northwoods Lager,Leinenkugel,0.0494,163,15.3
Leinenkugel Original,Leinenkugel,0.0467,152,13.9
Leinenkugel Creamy Dark,Leinenkugel,0.0494,170,16.8
Leinenkugel Red ,Leinenkugel,0.0494,166,16.2
Leinenkugel Sunset Wheat,Leinenkugel,0.0490,165,16
Leinenkugel Light,Leinenkugel,0.0419,105,5.7
Leinenkugel Amber Light,Leinenkugel,0.0414,110,7.4
Lowenbrau Dark,,0.0500,160,
Lowenbrau Special Beer,,0.0520,160,
Magnum Malt Liquor,MillerCoors,0.0560,157,11.2
Michael Shea's,High Falls Brewing,0.0462,145,13
Michelob Amber Boch,Anheuser Busch,0.0520,166,15
Michelob Beer,Anheuser Busch,0.0500,155,13.3
Michelob Golden Draft,Anheuser Busch,0.0470,152,14.1
Michelob Golden Draft Light,Anheuser Busch,0.0410,110,7
Michelob Honey Lager,Anheuser Busch,0.0490,175,17.9
Michelob Light,Anheuser Busch,0.0430,113,6.7
Michelob Ultra,Anheuser Busch,0.0410,95,2.6
Mickey's Fine Malt Liquor ,MillerCoors,0.0560,157,11.2
Mickey's Ice ,MillerCoors,0.0580,157,11.8
Miller Chill,MillerCoors,0.0420,110,6.5
Miller Genuine Draft,MillerCoors,0.0470,143,13.1
Miller Genuine Draft Light,MillerCoors,0.0420,110,7
"Miller Genuine Draft ""64""",MillerCoors,0.0280,64,2.4
Miller High Life,MillerCoors,0.0470,143,13.1
Miller High Life Light,MillerCoors,0.0420,110,7
Miller Lite,MillerCoors,0.0420,96,3.2
Milwaukee's Best,MillerCoors,0.0430,128,11.4
Miller Lite Brewers Collection Amber,MillerCoors,0.0420,110,6.2
Miller Lite Brewers Collection Blonde,MillerCoors,0.0420,110,6.2
Miller Lite Brewers Collection Wheat,MillerCoors,0.0420,110,6.2
Milwaukee's Best Premium,MillerCoors,0.0430,128,11.4
Milwaukee's Best Light,MillerCoors,0.0420,98,3.5
Milwaukee's Best Ice,MillerCoors,0.0590,144,7.3
New Belgium 1554,New Belgium,0.0560,205,25
New Belgium 2 Below,New Belgium,0.0660,200,17
New Belgium Abbey,New Belgium,0.0700,200,18
New Belgium Blue Paddle,New Belgium,0.0480,140,14
New Belgium Fat Tire,New Belgium,0.0520,160,15
New Belgium Mothership Wit,New Belgium,0.0480,155,15
New Belgium Trippel,New Belgium,0.0780,215,20
New Belgium Sunshine Wheat,New Belgium,0.0480,145,13
O'Doul's,Anheuser Busch,0.0040,70,13.3
Old Milwaukee Light,Old Milwaukee,0.0380,114,8.3
Old Milwaukee Beer,Old Milwaukee,0.0450,146,12.9
Olde English 800 ,MillerCoors,0.0590,160,10.5
Olde English 800 7.5,MillerCoors,0.0750,202,13.4
Olde English High Gravity 800 ,MillerCoors,0.0800,220,14.6
Olympia Premium Lager,Pabst,0.0470,146,11.9
Pabst Blue Ribbon,Pabst,0.0465,144,12.01
Pabst Extra Light Low Alcohol,Pabst,0.0250,67,
Pete's Wicked Ale,,0.0530,174,17.7
Red Dog,MillerCoors,0.0500,147,14.1
Red Hook ESB,Red Hook,0.0577,179,14.15
Red Hook IPA,Red Hook,0.0650,188,12.66
Rolling Rock Extra Pale,Latrobe,0.0460,142,
Rolling Rock Premium Beer ,Latrobe,0.0450,120,10
Sam Adams Boston Lager ,Boston Beer,0.0475,160,18
Sam Adams Boston Ale,Boston Beer,0.0494,160,19.9
Sam Adams Cherry Wheat,Boston Beer,0.0520,166,16.86
Sam Adams Cream Stout,Boston Beer,0.0469,195,23.94
Sam Adams IPA,Boston Beer,0.0593,175,
Sam Adams Light,Boston Beer,0.0405,119,9.6
Sam Adams Pale Ale,Boston Beer,0.0525,145,
Schaefer Beer,Pabst,0.0460,142,12
Schlitz Beer,Pabst,0.0470,146,12.1
Schlitz Light,Pabst,0.0420,110,
Schlitz Malt Liquor,Pabst,0.0620,185,
Sierra Nevada Anniversary Ale,Sierra Nevada,0.0590,190,17.3
Sierra Nevada Bigfoot,Sierra Nevada,0.0960,330,32.1
Sierra Nevada Celebration Ale,Sierra Nevada,0.0680,214,19.4
Sierra Nevada Draft Ale,Sierra Nevada,0.0500,157,13.4
Sierra Nevada Early Spring Beer,Sierra Nevada,0.0590,190,16.7
Sierra Nevada Harvest Ale,Sierra Nevada,0.0670,215,19.3
Sierra Nevada India Pale Ale,Sierra Nevada,0.0690,231,20
Sierra Nevada Pale Ale,Sierra Nevada,0.0560,175,14.1
Sierra Nevada Pale Bock,Sierra Nevada,0.0700,218,19.7
Sierra Nevada Porter,Sierra Nevada,0.0560,194,18.4
Sierra Nevada Stout,Sierra Nevada,0.0580,225,22.3
Sierra Nevada Summerfest Beer,Sierra Nevada,0.0500,158,13.7
Sierra Nevada Wheat Beer,Sierra Nevada,0.0440,153,13.1
Signature Stroh Beer,Stroh's,0.0480,153,
Southpaw Light,MillerCoors,0.0500,123,6.6
Steel Reserve,MillerCoors,0.0810,222,16
Steel Reserve Triple Export,MillerCoors,0.0810,222,16
Steel Reserve Six,MillerCoors,0.0600,160,11
Stone River Double Bastard,Stone River Brewery,0.1120,,
Stroh's Beer ,Stroh's,0.0460,149,12
Stroh's Light,Stroh's,0.0440,113,7
Summit Horizon Red IPA,Summit Brewing,0.0570,195,15
Summit Summer Ale,Summit Brewing,0.0450,147,12
Tuborg Deluxe Dark Export,G. Heileman,0.0510,163,
Tuborg Export Quality,G. Heileman,0.0500,156,
Weinhard's Private Reserve,MillerCoors,0.0480,150,9.9
Weinhard's Amber Light,MillerCoors,0.0420,135,11.5
Weinhard's Hefeweizen,MillerCoors,0.0490,151,12.2
Weinhard's Blonde Lager,MillerCoors,0.0510,161,14
Weinhard's Pale Ale,MillerCoors,0.0460,147,13
Yuengling Ale,D.G. Yuengilng,0.0500,145,10
Yuengling Porter,D.G. Yuengilng,0.0450,150,14
Yuengling Premium Beer,D.G. Yuengling,0.0440,135,12
Yuengling Light,D.G. Yuengling,0.0380,98,6.6
Yuengling Lager,D.G. Yuengling,0.0440,135,12
